RLV Sizing
LEO Mission
lng_LS=, 1.434567840000000e+002,latg_LS=, 4.250403800000000e+001,g0=, 9.806649999999999e+000,GM=, 3.986009017000000e+014,Re=, 6.378142000000000e+003,Rp=, 6.356757000000000e+003,Omega=, 4.178074625000000e-003,EularL1L2[0]=, 0.000000000000000e+000,EularL1L2[1]=, 0.000000000000000e+000,EularL1L2[2]=, 9.000000000000000e+001,
Event Title,time,h,s,lng,latg,longiip,latgiip,ha,hp,inc,argp,asnd,tanm,vi,fpvgd,azvgd,weight,Fvac,Fr,eularGDB[1],eularGDB[2],eularGDB[0],qbi[0],qbi[1],qbi[2],qbi[3],axb,q,alphat,alpha,beta,alphaq,M,vr,va,P,Q,R,MASUDA.Elevation,OGASAWARA.Elevation,GUAM.Elevation,TAIKI.Elevation,TAIKI-SEIKA.Elevation,NEMURO.Elevation,weight,Vlossxb,Vlossg,Vlossaoa,Vlossbp,Vlossyzb,Videal,Vgain,MainEngine.Wp,2ndEngine.Wp,
Start, 0.000000000000000e+000, 5.000000000031816e-002, 0.000000000000000e+000, 1.434567840000000e+002, 4.250403799950712e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 3.105000000000000e+004, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 4.500001818199580e-001, 3.676568417873116e-002,-7.061503271024306e-001, 5.454354557250607e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 3.105000000000000e+004, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 2.182900000000000e+004, 4.683000000000000e+003,
LIFTOFF, 0.000000000000000e+000, 5.000000000031816e-002, 1.672358429364845e-004, 1.434567840000000e+002, 4.250403799950712e+001, 1.434567840000000e+002, 4.250403799950712e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 3.434144711759058e+002, 1.659672048666570e-014, 9.000000000000001e+001, 3.105000000000000e+004, 0.000000000000000e+000, 0.000000000000000e+000, 8.980836148280739e+001, 3.599999999999962e+002,-9.000000000000443e+001, 4.500001818199580e-001, 3.676568417873116e-002,-7.061503271024306e-001, 5.454354557250607e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000,-7.777363719511635e+000,-7.737607883149678e+000,-1.456520881906694e+001,-1.512804253220968e-001,-5.422916235298211e-001,-8.774929843802130e-001, 3.105000000000000e+004, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 2.182900000000000e+004, 4.683000000000000e+003,
, 0.000000000000000e+000, 5.000000000031816e-002, 1.672358429364845e-004, 1.434567840000000e+002, 4.250403799950712e+001, 1.434567840697174e+002, 4.250403873198476e+001,-9.667557680982100e+000,-6.372136501254286e+003, 4.231239948281014e+001, 2.700000000000000e+002, 5.345678400000001e+001, 1.800000000000000e+002, 3.434144711759058e+002, 1.659672048666570e-014, 9.000000000000001e+001, 3.105000000000000e+004, 4.950000000000000e+005, 3.789638821111965e+005, 8.980836148280739e+001, 3.599999999999962e+002,-9.000000000000443e+001, 4.500001818199580e-001, 3.676568417873116e-002,-7.061503271024306e-001, 5.454354557250607e-001, 1.220495594561019e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000,-7.777363719511635e+000,-7.737607883149678e+000,-1.456520881906694e+001,-1.512804253220968e-001,-5.422916235298211e-001,-8.774929843802130e-001, 3.105000000000000e+004, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 2.182900000000000e+004, 4.683000000000000e+003,
, 1.000000000000000e+000, 5.121122373483267e-002, 1.713021544011165e-004, 1.434567839981391e+002, 4.250403800068028e+001, 1.434567840502078e+002, 4.250403887507419e+001,-9.666044710014830e+000,-6.372136512770414e+003, 4.231239953719796e+001, 2.699992692734800e+002, 5.346298654622657e+001, 1.799992336578925e+002, 3.434226963597793e+002, 4.059410069094774e-001, 8.999863718000999e+001, 3.088873497590284e+004, 4.950000000000000e+005, 3.789805629544738e+005, 8.980833669123894e+001, 3.590791646311658e+002,-9.092365309976094e+001, 4.500001818199580e-001, 3.676568417873116e-002,-7.061503271024306e-001, 5.454354557250607e-001, 1.226914180817682e+001, 3.608341720895174e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 7.154259114747810e-003, 2.433145653751013e+000, 2.433145653751013e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000,-7.777323802285898e+000,-7.737567662544114e+000,-1.456518777058138e+001,-1.466612504990601e-001,-5.417206645690411e-001,-8.771392512588002e-001, 3.088873497590284e+004,-2.455385725185525e-005, 3.464267294350941e-002, 0.000000000000000e+000, 3.746632046036400e+000, 0.000000000000000e+000, 1.598357211223535e+001, 1.223691551234171e+001, 2.166773497590284e+004, 4.683000000000000e+003,
, 2.000000000000000e+000, 5.488795754603903e-002, 1.836489986000200e-004, 1.434567839850565e+002, 4.250403800186326e+001, 1.434567839747658e+002, 4.250403908671259e+001,-9.661430272905818e+000,-6.372136547481770e+003, 4.231239970356705e+001, 2.699985191414280e+002, 5.346924300193253e+001, 1.799984468477504e+002, 3.434482908833616e+002, 8.226866170163031e-001, 8.999723806207560e+001, 3.072746995180569e+004, 4.950000000000000e+005, 3.790311866062063e+005, 8.980826233732428e+001, 3.581588083012296e+002,-9.184682715306262e+001, 4.500001818199580e-001, 3.676568417873116e-002,-7.061503271024306e-001, 5.454354557250607e-001, 1.233494885189371e+001, 1.481628743593194e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 1.450024376087906e-002, 4.931291938629107e+000, 4.931291938629107e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000,-7.777202629580676e+000,-7.737445570611685e+000,-1.456512387693422e+001,-1.326394992780235e-001,-5.399874890614084e-001,-8.760654784648781e-001, 3.072746995180569e+004,-2.011310565050680e-004, 1.397970964498562e-001, 0.000000000000000e+000, 7.511785482068285e+000, 0.000000000000000e+000, 3.205081061987050e+001, 2.453882400674571e+001, 2.150646995180569e+004, 4.683000000000000e+003,
, 3.000000000000000e+000, 6.109602311797861e-002, 2.045268739945002e-004, 1.434567839493732e+002, 4.250403800098695e+001, 1.434567838125274e+002, 4.250403937940161e+001,-9.653597623310816e+000,-6.372136605639618e+003, 4.231239998689652e+001, 2.699977490785074e+002, 5.347555476185003e+001, 1.799976390551186e+002, 3.434926943305609e+002, 1.250465776699283e+000, 8.999580169963271e+001, 3.056620492770853e+004, 4.950000000000000e+005, 3.791166225422744e+005, 8.980813848147332e+001, 3.572394085591267e+002,-9.276904460331166e+001, 4.500001818199580e-001, 3.676568417873116e-002,-7.061503271024306e-001, 5.454354557250607e-001, 1.240241887128808e+001, 3.421592085445725e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 2.204345964976969e-002, 7.496088738406509e+000, 7.496088738406509e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000,-7.776998029433099e+000,-7.737239421480490e+000,-1.456501599454538e+001,-1.089641467084579e-001,-5.370610713894108e-001,-8.742524480177667e-001, 3.056620492770853e+004,-6.950345204547110e-004, 3.173291510187233e-001, 0.000000000000000e+000, 1.129453346853002e+001, 0.000000000000000e+000, 4.820259604156966e+001, 3.690736753851918e+001, 2.134520492770853e+004, 4.683000000000000e+003,
, 4.000000000000000e+000, 6.990291280895446e-002, 2.342563324969708e-004, 1.434567838795339e+002, 4.250403800206630e+001, 1.434567835274683e+002, 4.250403976450920e+001,-9.642425234889743e+000,-6.372136687504551e+003, 4.231240039240176e+001, 2.699969585464484e+002, 5.348192325666680e+001, 1.799968097517564e+002, 3.435574309107557e+002, 1.689507056023168e+000, 8.999432712179332e+001, 3.040493990361138e+004, 4.950000000000000e+005, 3.792377359926768e+005, 8.980796522284784e+001, 3.563214399855103e+002,-9.368983086206555e+001, 4.500001818199580e-001, 3.676568417873116e-002,-7.061503271024306e-001, 5.454354557250607e-001, 1.247159391570209e+001, 6.242287474902181e+001, 2.990974434788834e-002,-2.990198563982534e-002,-6.812209041451784e-004, 1.867052225203497e+000, 2.978959433659461e-002, 1.012922806297525e+001, 1.012922806297525e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000,-7.776707774883141e+000,-7.736946973904424e+000,-1.456486295086160e+001,-7.537779903809048e-002,-5.329095999646299e-001,-8.716804550946395e-001, 3.040493990361138e+004,-1.686779870519660e-003, 5.691392140520007e-001, 2.832476543211862e-008, 1.509390599244578e+001, 0.000000000000000e+000, 6.443982286964091e+001, 4.934423008867551e+001, 2.118393990361138e+004, 4.683000000000000e+003,
, 5.000000000000000e+000, 8.137783189465518e-002, 2.732545074744976e-004, 1.434567837638012e+002, 4.250403800454584e+001, 1.434567830784101e+002, 4.250404025202169e+001,-9.627786586494040e+000,-6.372136793346798e+003, 4.231240092554631e+001, 2.699961469919789e+002, 5.348834995328125e+001, 1.799959583975148e+002, 3.436441134281403e+002, 2.140037909266691e+000, 8.999281333316985e+001, 3.024367487951422e+004, 4.950000000000000e+005, 3.793953862180762e+005, 8.980774269899884e+001, 3.554053727374205e+002,-9.460871576438630e+001, 4.500001818199580e-001, 3.676568417873116e-002,-7.061503271024306e-001, 5.454354557250607e-001, 1.254251624284340e+001, 1.000761528614520e+002, 3.695275914052743e-002,-3.694665407984021e-002,-6.716849355139397e-004, 3.698089972399840e+000, 3.774452200282528e-002, 1.283244428543020e+001, 1.283244428543020e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000,-7.776329582588648e+000,-7.736565929869240e+000,-1.456466354362719e+001,-3.161654804190081e-002,-5.275004574855842e-001,-8.683292958193206e-001, 3.024367487951422e+004,-3.372910678579035e-003, 8.971613365054098e-001, 2.167720856910280e-006, 1.890888849949413e+001, 0.000000000000000e+000, 8.076339986728770e+001, 6.185113779572114e+001, 2.102267487951422e+004, 4.683000000000000e+003,
, 6.000000000000000e+000, 9.559174104234663e-002, 3.220391578214346e-004, 1.434567835902502e+002, 4.250403800514597e+001, 1.434567824211096e+002, 4.250404085076273e+001,-9.609549939305907e+000,-6.372136923446539e+003, 4.231240159205385e+001, 2.699953138487813e+002, 5.349483635502143e+001, 1.799950844382128e+002, 3.437544473171049e+002, 2.602283866007917e+000, 8.999125931372407e+001, 3.008240985541706e+004, 4.950000000000000e+005, 3.795904246703344e+005, 8.980747108536127e+001, 3.544916711269313e+002,-9.552523499016564e+001, 4.500001818199580e-001, 3.676568417873116e-002,-7.061503271024306e-001, 5.454354557250607e-001, 1.261522827004588e+001, 1.478378069343711e+002, 4.382876527163600e-002,-4.382376330737960e-002,-6.621443626056090e-004, 6.479548538399992e+000, 4.591430837433096e-002, 1.560751433167476e+001, 1.560751433167476e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000,-7.775861111433791e+000,-7.736093933192082e+000,-1.456441654015133e+001, 2.259016425995076e-002,-5.208002011234393e-001,-8.641782550005128e-001, 3.008240985541706e+004,-5.966831049938367e-003, 1.303362219497325e+000, 5.304118426625870e-006, 2.273842278626604e+001, 0.000000000000000e+000, 9.717425037380674e+001, 7.442985913983740e+001, 2.086140985541706e+004, 4.683000000000000e+003,
, 7.000000000000000e+000, 1.126173989347412e-001, 3.812186286360190e-004, 1.434567833467625e+002, 4.250403800703052e+001, 1.434567815081029e+002, 4.250404156877254e+001,-9.587578105803914e+000,-6.372137078094210e+003, 4.231240239792100e+001, 2.699944585358809e+002, 5.350138400182578e+001, 1.799941873071114e+002, 3.438902347290908e+002, 3.076467649848924e+000, 8.998966401864098e+001, 2.992114483131991e+004, 4.950000000000000e+005, 3.798236930328016e+005, 8.980715059457229e+001, 3.535807922445409e+002,-9.643893144074220e+001, 4.500001818199580e-001, 3.676568417873116e-002,-7.061503271024306e-001, 5.454354557250607e-001, 1.268977252336094e+001, 2.063924524738653e+002, 5.053990087099364e-002,-5.053568731606381e-002,-6.526009382850281e-004, 1.043105408855042e+001, 5.430521578567717e-002, 1.845625782031949e+001, 1.845625782031949e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000,-7.775299961132855e+000,-7.735528568116416e+000,-1.456412067657296e+001, 8.751966832589556e-002,-5.127745426703763e-001,-8.592060938397828e-001, 2.992114483131991e+004,-9.699651136460317e-003, 1.789739974510284e+000, 9.606048441250959e-006, 2.658140496550543e+001, 0.000000000000000e+000, 1.136733126179882e+002, 8.708220507722648e+001, 2.070014483131991e+004, 4.683000000000000e+003,
