RLV Sizing
LEO Mission
lng_LS=, 1.434567840000000e+002,latg_LS=, 4.250403800000000e+001,g0=, 9.806649999999999e+000,GM=, 3.986009017000000e+014,Re=, 6.378142000000000e+003,Rp=, 6.356757000000000e+003,Omega=, 4.178074625000000e-003,EularL1L2[0]=, 0.000000000000000e+000,EularL1L2[1]=, 0.000000000000000e+000,EularL1L2[2]=, 9.500000000000000e+001,
Event Title,time,h,s,lng,latg,longiip,latgiip,ha,hp,inc,argp,asnd,tanm,vi,fpvgd,azvgd,weight,Fvac,Fr,eularGDB[1],eularGDB[2],eularGDB[0],qbi[0],qbi[1],qbi[2],qbi[3],axb,q,alphat,alpha,beta,alphaq,M,vr,va,P,Q,R,MASUDA.Elevation,OGASAWARA.Elevation,GUAM.Elevation,TAIKI.Elevation,TAIKI-SEIKA.Elevation,NEMURO.Elevation,weight,Payload.Weight,Vlossxb,Vlossg,Vlossaoa,Vlossbp,Vlossyzb,Videal,Vgain,MainEngine.Wp,2ndEngine.Wp,TAIKI-SEIKA.Range,TAIKI-SEIKA.Tlookang,Rou,Ta,
Start, 0.000000000000000e+000, 5.000000000031816e-002, 0.000000000000000e+000, 1.434567840000000e+002, 4.250403799950712e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 3.095396175700000e+004, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 4.511755779786853e-001, 1.710195914872520e-002,-7.292697888871905e-001, 5.141144773737723e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 3.095396175700000e+004, 1.039617570000000e+002, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 2.182900000000000e+004, 4.683000000000000e+003, 0.000000000000000e+000, 0.000000000000000e+000, 1.219135556295125e+000, 1.467500255630915e+001,
LIFTOFF, 0.000000000000000e+000, 5.000000000031816e-002, 1.672358429364845e-004, 1.434567840000000e+002, 4.250403799950712e+001, 1.434567840000000e+002, 4.250403799950712e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 3.434144711759058e+002, 1.659672048666570e-014, 9.000000000000001e+001, 3.095396175700000e+004, 0.000000000000000e+000, 0.000000000000000e+000, 8.980836148280739e+001, 3.599999999999981e+002,-9.500000000000061e+001, 4.511755779786853e-001, 1.710195914872520e-002,-7.292697888871905e-001, 5.141144773737723e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000,-7.777363719511635e+000,-7.737607883149678e+000,-1.456520881906694e+001,-1.512804253220968e-001,-5.422916235298211e-001,-8.774929843802130e-001, 3.095396175700000e+004, 1.039617570000000e+002, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 2.182900000000000e+004, 4.683000000000000e+003, 1.215407708215528e+002, 8.944824557643274e+001, 1.219135556295125e+000, 1.467500255630915e+001,
, 0.000000000000000e+000, 5.000000000031816e-002, 1.672358429364845e-004, 1.434567840000000e+002, 4.250403799950712e+001, 1.434567840697174e+002, 4.250403873198476e+001,-9.667557680982100e+000,-6.372136501254286e+003, 4.231239948281014e+001, 2.700000000000000e+002, 5.345678400000001e+001, 1.800000000000000e+002, 3.434144711759058e+002, 1.659672048666570e-014, 9.000000000000001e+001, 3.095396175700000e+004, 4.950000000000000e+005, 3.789638821111965e+005, 8.980836148280739e+001, 3.599999999999981e+002,-9.500000000000061e+001, 4.511755779786853e-001, 1.710195914872520e-002,-7.292697888871905e-001, 5.141144773737723e-001, 1.224282323168202e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000,-7.777363719511635e+000,-7.737607883149678e+000,-1.456520881906694e+001,-1.512804253220968e-001,-5.422916235298211e-001,-8.774929843802130e-001, 3.095396175700000e+004, 1.039617570000000e+002, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 2.182900000000000e+004, 4.683000000000000e+003, 1.215407708215528e+002, 8.944824557643274e+001, 1.219135556295125e+000, 1.467500255630915e+001,
, 1.000000000000000e+000, 5.123022393276116e-002, 1.713657053450198e-004, 1.434567839981267e+002, 4.250403800013699e+001, 1.434567840500842e+002, 4.250403887747079e+001,-9.666016193853466e+000,-6.372136512806110e+003, 4.231239953832908e+001, 2.699992579275205e+002, 5.346301810323435e+001, 1.799992216678954e+002, 3.434229661332956e+002, 4.122919526717589e-001, 8.999861593668980e+001, 3.079269673290285e+004, 4.950000000000000e+005, 3.789808246076405e+005, 8.980833669180942e+001, 3.590791646311570e+002,-9.592365309975745e+001, 4.511755779786853e-001, 1.710195914872520e-002,-7.292697888871905e-001, 5.141144773737723e-001, 1.230741374552027e+001, 3.722126988951746e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 7.266192818722174e-003, 2.471213496678876e+000, 2.471213496678876e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000,-7.777323176116835e+000,-7.737567031611876e+000,-1.456518744039716e+001,-1.465887905287900e-001,-5.417117080649061e-001,-8.771337023216791e-001, 3.079269673290285e+004, 1.039617570000000e+002,-2.540859043033721e-005, 3.518609092649354e-002, 0.000000000000000e+000, 3.758283990285255e+000, 0.000000000000000e+000, 1.603329273484656e+001, 1.227498333597087e+001, 2.166773497590284e+004, 4.683000000000000e+003, 1.215407826589425e+002, 8.944767673521764e+001, 1.218991415561384e+000, 1.466700622808867e+001,
, 2.000000000000000e+000, 5.496423174834965e-002, 1.839041616190023e-004, 1.434567839849567e+002, 4.250403799998421e+001, 1.434567839738694e+002, 4.250403909301601e+001,-9.661315218152595e+000,-6.372136547625591e+003, 4.231239970814187e+001, 2.699984963251638e+002, 5.346930646067730e+001, 1.799984227371240e+002, 3.434493903193944e+002, 8.354558736224493e-001, 8.999719534332223e+001, 3.063143170880569e+004, 4.950000000000000e+005, 3.790322366087821e+005, 8.980826233961864e+001, 3.581588083011625e+002,-9.684682715306026e+001, 4.511755779786853e-001, 1.710195914872520e-002,-7.292697888871905e-001, 5.141144773737723e-001, 1.237364708444027e+001, 1.527974913991912e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 1.472535196025023e-002, 5.007843182951855e+000, 5.007843182951855e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000,-7.777200115882542e+000,-7.737443037803717e+000,-1.456512255144758e+001,-1.323486166556104e-001,-5.399515341812051e-001,-8.760432028961275e-001, 3.063143170880569e+004, 1.039617570000000e+002,-2.080964921011721e-004, 1.419783343549004e-001, 0.000000000000000e+000, 7.535191381684027e+000, 0.000000000000000e+000, 3.215077457438053e+001, 2.461537509620440e+001, 2.150646995180569e+004, 4.683000000000000e+003, 1.215408186626276e+002, 8.944592778889145e+001, 1.218553996023269e+000, 1.464273558274806e+001,
, 3.000000000000000e+000, 6.126827163594551e-002, 2.051034372290456e-004, 1.434567839490352e+002, 4.250403800151700e+001, 1.434567838098839e+002, 4.250403939146797e+001,-9.653336456969555e+000,-6.372136605965646e+003, 4.231239999730637e+001, 2.699977146608219e+002, 5.347565048550857e+001, 1.799976026863043e+002, 3.434952150763095e+002, 1.269722166425621e+000, 8.999573726086339e+001, 3.047016668470853e+004, 4.950000000000000e+005, 3.791189923120351e+005, 8.980813848666314e+001, 3.572394085589064e+002,-9.776904460330064e+001, 4.511755779786853e-001, 1.710195914872520e-002,-7.292697888871905e-001, 5.141144773737723e-001, 1.244156540942312e+001, 3.527760187910052e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 2.238306770104887e-002, 7.611560888310443e+000, 7.611560888310443e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000,-7.776992352775285e+000,-7.737233701693132e+000,-1.456501300123001e+001,-1.083072522177465e-001,-5.369798752778173e-001,-8.742021436300577e-001, 3.047016668470853e+004, 1.039617570000000e+002,-7.189803589768603e-004, 3.222540105686984e-001, 0.000000000000000e+000, 1.132977617910012e+001, 0.000000000000000e+000, 4.835333432363704e+001, 3.702283916417794e+001, 2.134520492770853e+004, 4.683000000000000e+003, 1.215408797039130e+002, 8.944296751074198e+001, 1.217815784308384e+000, 1.460176007271309e+001,
, 4.000000000000000e+000, 7.021028458139109e-002, 2.352862676162428e-004, 1.434567838787297e+002, 4.250403800262686e+001, 1.434567835211538e+002, 4.250403978446511e+001,-9.641956743105766e+000,-6.372136688088642e+003, 4.231240041112159e+001, 2.699969123892342e+002, 5.348205162717496e+001, 1.799967609802578e+002, 3.435619980769077e+002, 1.715320638076450e+000, 8.999424070574497e+001, 3.030890166061138e+004, 4.950000000000000e+005, 3.792419611499373e+005, 8.980796523211731e+001, 3.563214399849775e+002,-9.868983086205633e+001, 4.511755779786853e-001, 1.710195914872520e-002,-7.292697888871905e-001, 5.141144773737723e-001, 1.251121112355132e+001, 6.434416983421329e+001, 2.955141302203796e-002,-2.948984939987804e-002, 1.906513901195209e-003, 1.901461138330993e+000, 3.024511452090520e-002, 1.028408093001200e+001, 1.028408093001200e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000,-7.776697645038154e+000,-7.736936767142287e+000,-1.456485760940031e+001,-7.420559300528332e-002,-5.327647084001222e-001,-8.715906887761654e-001, 3.030890166061138e+004, 1.039617570000000e+002,-1.744593723461052e-003, 5.779249165787004e-001, 1.888579070768336e-007, 1.514104857671296e+001, 0.000000000000000e+000, 6.464187493737443e+001, 4.949908170926697e+001, 2.118393990361138e+004, 4.683000000000000e+003, 1.215409668445245e+002, 8.943876387762809e+001, 1.216769251740505e+000, 1.454363819072307e+001,
, 5.000000000000000e+000, 8.185994697665022e-002, 2.748721604070623e-004, 1.434567837622245e+002, 4.250403800398161e+001, 1.434567830661452e+002, 4.250404028219363e+001,-9.627047820227745e+000,-6.372136794266712e+003, 4.231240095513952e+001, 2.699960889502590e+002, 5.348851137163573e+001, 1.799958970715522e+002, 3.436513873477903e+002, 2.172479732087139e+000, 8.999270466969507e+001, 3.014763663651422e+004, 4.950000000000000e+005, 3.794020060222780e+005, 8.980774271355423e+001, 3.554053727363651e+002,-9.960871576437883e+001, 4.511755779786853e-001, 1.710195914872520e-002,-7.292697888871905e-001, 5.141144773737723e-001, 1.258262682442409e+001, 1.031314695502037e+002, 3.651439986069050e-002,-3.642714419142128e-002, 2.522809282118356e-003, 3.765783717376765e+000, 3.831745594565897e-002, 1.302716033694200e+001, 1.302716033694200e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000,-7.776313693794129e+000,-7.736549920501952e+000,-1.456465516552297e+001,-2.977793592126147e-002,-5.272731943332532e-001,-8.681884970003473e-001, 3.014763663651422e+004, 1.039617570000000e+002,-3.487917335017604e-003, 9.109364774175178e-001, 2.284234247097987e-006, 1.896797380248760e+001, 0.000000000000000e+000, 8.101731382202782e+001, 6.204585140525079e+001, 2.102267487951422e+004, 4.683000000000000e+003, 1.215410813520207e+002, 8.943328405007227e+001, 1.215406864823090e+000, 1.446791719660610e+001,
, 6.000000000000000e+000, 9.628871342136780e-002, 3.243810305211219e-004, 1.434567835875151e+002, 4.250403800525290e+001, 1.434567823997453e+002, 4.250404089362999e+001,-9.608476115907251e+000,-6.372136924782063e+003, 4.231240163517752e+001, 2.699952437701783e+002, 5.349503124157047e+001, 1.799950103990378e+002, 3.437651253545462e+002, 2.641425690494338e+000, 8.999112811959442e+001, 2.998637161241706e+004, 4.950000000000000e+005, 3.795999814097627e+005, 8.980747110642717e+001, 3.544916711251028e+002,-1.005252349901511e+002, 4.511755779786853e-001, 1.710195914872520e-002,-7.292697888871905e-001, 5.141144773737723e-001, 1.265585525428659e+001, 1.523146812241444e+002, 4.331388775993510e-002,-4.320102309591637e-002, 3.124817394351563e-003, 6.597341006732882e+000, 4.660624952903197e-002, 1.584259902486697e+001, 1.584259902486697e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000,-7.775838141643767e+000,-7.736070789200173e+000,-1.456440442833274e+001, 2.524815617577996e-002,-5.204716576381685e-001,-8.639747090268525e-001, 2.998637161241706e+004, 1.039617570000000e+002,-6.169226233225892e-003, 1.323266650582351e+000, 5.356890177239071e-006, 2.280947268671536e+001, 0.000000000000000e+000, 9.748058314576036e+001, 7.466493960007819e+001, 2.086140985541706e+004, 4.683000000000000e+003, 1.215412247161884e+002, 8.942649435229576e+001, 1.213721096559576e+000, 1.437413284304455e+001,
, 7.000000000000000e+000, 1.135698596858090e-001, 3.844230282055657e-004, 1.434567833424019e+002, 4.250403800690754e+001, 1.434567814737021e+002, 4.250404162694284e+001,-9.586102506336829e+000,-6.372137079927293e+003, 4.231240245733136e+001, 2.699943762604670e+002, 5.350161279654839e+001, 1.799941003889502e+002, 3.439050531338834e+002, 3.122381641908328e+000, 8.998950999735835e+001, 2.982510658831991e+004, 4.950000000000000e+005, 3.798367313656947e+005, 8.980715062341228e+001, 3.535807922416024e+002,-1.014389314407445e+002, 4.511755779786853e-001, 1.710195914872520e-002,-7.292697888871905e-001, 5.141144773737723e-001, 1.273093924802834e+001, 2.125916125778704e+002, 4.995189014796944e-002,-4.981372264824201e-002, 3.712732036017180e-003, 1.061935287786946e+001, 5.511785198464714e-002, 1.873223992086617e+001, 1.873223992086617e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000,-7.775268571258258e+000,-7.735496940326394e+000,-1.456410412499389e+001, 9.115197651363473e-002,-5.123255666487609e-001,-8.589279352519751e-001, 2.982510658831991e+004, 1.039617570000000e+002,-1.002694931599738e-002, 1.816924606942835e+000, 9.572466626255284e-006, 2.666441985904603e+001, 0.000000000000000e+000, 1.140326301568741e+002, 8.735818043468341e+001, 2.070014483131991e+004, 4.683000000000000e+003, 1.215413986664481e+002, 8.941836025221451e+001, 1.211704438645540e+000, 1.426180910054671e+001,
