RLV Sizing
LEO Mission
lng_LS=, 1.434567840000000e+002,latg_LS=, 4.250403800000000e+001,g0=, 9.806649999999999e+000,GM=, 3.986004418000000e+014,Re=, 6.378137000000000e+003,Rp=, 6.356752314250000e+003,Omega=, 4.178074130000000e-003,EularL1L2[0]=, 0.000000000000000e+000,EularL1L2[1]=, 0.000000000000000e+000,EularL1L2[2]=, 9.000000000000000e+001,
Event Title,time,h,s,lng,latg,latc,longiip,latgiip,ha,hp,inc,argp,asnd,tanm,vi,fpvgd,azvgd,weight,Fvac,Fr,eularGDB[1],eularGDB[2],eularGDB[0],qbi[0],qbi[1],qbi[2],qbi[3],axb,ayb,azb,q,alphat,alpha,beta,alphaq,M,vr,va,P,Q,R,ROLL,PICH,YAW,TAIKI.Elevation,TAIKI-SEIKA.Elevation,weight,Vlossxb,Vlossg,Vlossaoa,Vlossbp,Vlossyzb,Videal,Vgain,Siip,MainEngine.Wp,2ndEngine.Wp,Pa,Ta,Rou,fpvg,azvg,fpvrg,azvrg,fpvag,azvag,xi,yi,zi,rc,vxi,vyi,vzi,
Start, 0.000000000000000e+000, 5.000000000031816e-002, 0.000000000000000e+000, 1.434567840000000e+002, 4.250403799950712e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 3.092152951880000e+004, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 4.500001818199580e-001, 3.676568417873116e-002,-7.061503271024306e-001, 5.454354557250607e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 3.092152951880000e+004, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 2.182900000000000e+004, 4.683000000000000e+003, 1.007257967784753e+005, 1.467500255630915e+001, 1.219135556295125e+000, 2.133866033584314e-014, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000,-3.783561722753329e+006, 2.804107235490658e+006, 4.287079209747527e+006, 0.000000000000000e+000,-2.044787242256523e+002,-2.759016717712075e+002, 0.000000000000000e+000,
LIFTOFF, 0.000000000000000e+000, 5.000000000031816e-002, 1.672335133372815e-004, 1.434567840000000e+002, 4.250403799950712e+001, 4.231240215234913e+001, 1.434567840000000e+002, 4.250403799950712e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 3.434141539702425e+002, 1.896769807630501e-014, 9.000000000000003e+001, 3.092152951880000e+004, 0.000000000000000e+000, 0.000000000000000e+000, 8.980836415234811e+001, 3.599999999999962e+002,-9.000000000000443e+001, 4.500001818199580e-001, 3.676568417873116e-002,-7.061503271024306e-001, 5.454354557250607e-001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000,-1.512804928222284e-001,-5.422916202121616e-001, 3.092152951880000e+004, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 2.182900000000000e+004, 4.683000000000000e+003, 1.007257967784753e+005, 1.467500255630915e+001, 1.219135556295125e+000, 2.133866033584314e-014, 9.000000000000003e+001,-9.000000000000000e+001, 0.000000000000000e+000,-9.000000000000000e+001, 0.000000000000000e+000,-3.783561722753329e+006, 2.804107235490658e+006, 4.287079209747527e+006, 6.368469584497101e+006,-2.044787242256523e+002,-2.759016717712075e+002, 0.000000000000000e+000,
, 0.000000000000000e+000, 5.000000000031816e-002, 1.672335133372815e-004, 1.434567840000000e+002, 4.250403799950712e+001, 4.231240215234913e+001, 1.434567840697060e+002, 4.250403873196542e+001,-9.667415502898621e+000,-6.372131514589697e+003, 4.231240215234912e+001, 2.700000000000000e+002, 5.345678400000000e+001, 1.800000000000000e+002, 3.434141539702425e+002, 1.896769807630501e-014, 9.000000000000003e+001, 3.092152951880000e+004, 4.950000000000000e+005, 3.789638821111965e+005, 8.980836415234811e+001, 3.599999999999962e+002,-9.000000000000443e+001, 4.500001818199580e-001, 3.676568417873116e-002,-7.061503271024306e-001, 5.454354557250607e-001, 1.225566419283335e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000,-1.512804928222284e-001,-5.422916202121616e-001, 3.092152951880000e+004, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 2.182900000000000e+004, 4.683000000000000e+003, 1.007257967784753e+005, 1.467500255630915e+001, 1.219135556295125e+000, 2.133866033584314e-014, 9.000000000000003e+001,-9.000000000000000e+001, 0.000000000000000e+000,-9.000000000000000e+001, 0.000000000000000e+000,-3.783561722753329e+006, 2.804107235490658e+006, 4.287079209747527e+006, 6.368469584497101e+006,-2.044787242256523e+002,-2.759016717712075e+002, 0.000000000000000e+000,
, 1.000000000000000e+000, 5.123663380167130e-002, 1.713669980428209e-004, 1.434567839981225e+002, 4.250403799990212e+001, 4.231240218953690e+001, 1.434567840499333e+002, 4.250403887697985e+001,-9.665864362275897e+000,-6.372131526153670e+003, 4.231240220793313e+001, 2.699992606291881e+002, 5.346301991830304e+001, 1.799992176237063e+002, 3.434227408966071e+002, 4.144349227904953e-001, 8.999861471442839e+001, 3.076026449470285e+004, 4.950000000000000e+005, 3.789809128783232e+005, 8.980833936104384e+001, 3.590791519157823e+002,-9.092366581487086e+001, 4.500001818199580e-001, 3.676568417873116e-002,-7.061503271024306e-001, 5.454354557250607e-001, 1.232039219683451e+001, 0.000000000000000e+000, 0.000000000000000e+000, 3.760912258797064e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 7.303955041330535e-003, 2.484056151711391e+000, 2.484056151711391e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000,-1.465644092824238e-001,-5.417086828388315e-001, 3.076026449470285e+004,-2.570090564908192e-005, 3.536968886743799e-002, 0.000000000000000e+000, 3.762235259006087e+000, 0.000000000000000e+000, 1.605015339675794e+001, 1.228789243684621e+001, 9.489737709383219e-005, 2.166773497590284e+004, 4.683000000000000e+003, 1.007110131264556e+005, 1.466696456461239e+001, 1.218990664575325e+000, 4.144372379627731e-001, 9.000000089424745e+001, 8.998930734961624e+001,-9.066246194894377e+001, 8.998930734961624e+001,-9.066246194894377e+001,-3.783766923820552e+006, 2.803831869277931e+006, 4.287080045267489e+006, 6.368470821123994e+006,-2.059297477392498e+002,-2.748259470508936e+002, 1.678329099594126e+000,
, 2.000000000000000e+000, 5.498996411976073e-002, 1.839166461713982e-004, 1.434567839849230e+002, 4.250403799956488e+001, 4.231240230240738e+001, 1.434567839734851e+002, 4.250403909198555e+001,-9.661134089454208e+000,-6.372131561009953e+003, 4.231240237794981e+001, 2.699985016874420e+002, 5.346931020720351e+001, 1.799984146037180e+002, 3.434494479082911e+002, 8.397647012886991e-001, 8.999719282043071e+001, 3.059899947060569e+004, 4.950000000000000e+005, 3.790325908428817e+005, 8.980826500793961e+001, 3.581587828947773e+002,-9.184685255890071e+001, 4.500001818199580e-001, 3.676568417873116e-002,-7.061503271024306e-001, 5.454354557250607e-001, 1.238677035362737e+001, 0.000000000000000e+000, 0.000000000000000e+000, 1.543771906187537e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 1.480129797606040e-002, 5.033669675896141e+000, 5.033669675896141e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000,-1.322505347502923e-001,-5.399393994331559e-001, 3.059899947060569e+004,-2.104785881758108e-004, 1.427153050206436e-001, 0.000000000000000e+000, 7.543128604603673e+000, 0.000000000000000e+000, 3.218467352463878e+001, 2.464133444144694e+001, 1.342051577188907e-004, 2.150646995180569e+004, 4.683000000000000e+003, 1.006661537822208e+005, 1.464256832522693e+001, 1.218550982028640e+000, 8.397693928812912e-001, 9.000000177109743e+001, 8.997878750000223e+001,-9.032636760609833e+001, 8.997878750000223e+001,-9.032636760609833e+001,-3.783973595086675e+006, 2.803557593330502e+006, 4.287082581169820e+006, 6.368474574433344e+006,-2.074192856921169e+002,-2.737210198740238e+002, 3.400951426612133e+000,
, 3.000000000000000e+000, 6.132638402896071e-002, 2.051352922210490e-004, 1.434567839489208e+002, 4.250403799813791e+001, 4.231240249295956e+001, 1.434567838089132e+002, 4.250403938985654e+001,-9.653105860304095e+000,-6.372131619412025e+003, 4.231240266747088e+001, 2.699977226394794e+002, 5.347565628608794e+001, 1.799975904172190e+002, 3.434957571492778e+002, 1.276220219820790e+000, 8.999573335477737e+001, 3.043773444650853e+004, 4.950000000000000e+005, 3.791197918049043e+005, 8.980814115346205e+001, 3.572393705101421e+002,-9.276908265120385e+001, 4.500001818199580e-001, 3.676568417873116e-002,-7.061503271024306e-001, 5.454354557250607e-001, 1.245484094845014e+001, 0.000000000000000e+000, 0.000000000000000e+000, 3.563945608538855e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 2.249764775636995e-002, 7.650519832051443e+000, 7.650519832051443e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000,-1.080856649676708e-001,-5.369524750980930e-001, 3.043773444650853e+004,-7.271693575229798e-004, 3.239180120893946e-001, 0.000000000000000e+000, 1.134172755365148e+001, 0.000000000000000e+000, 4.840445201047333e+001, 3.706199728746432e+001, 1.643670786290844e-004, 2.134520492770853e+004, 4.683000000000000e+003, 1.005904585026873e+005, 1.460138234944321e+001, 1.217808980866165e+000, 1.276227350719032e+000, 9.000000261291784e+001, 8.996843692006205e+001,-9.021290836146159e+001, 8.996843692006205e+001,-9.021290836146159e+001,-3.784181775561331e+006, 2.803284437217831e+006, 4.287086862312593e+006, 6.368480910817855e+006,-2.089483326700743e+002,-2.725861531292629e+002, 5.169001464660942e+000,
, 4.000000000000000e+000, 7.031398689839351e-002, 2.353465765060133e-004, 1.434567838784574e+002, 4.250403799997689e+001, 4.231240276324437e+001, 1.434567835190020e+002, 4.250403978224752e+001,-9.641655949648339e+000,-6.372131701622860e+003, 4.231240308181042e+001, 2.699969229380032e+002, 5.348205961071515e+001, 1.799967445263804e+002, 3.435632376746152e+002, 1.724031690333147e+000, 8.999423532963334e+001, 3.027646942241138e+004, 4.950000000000000e+005, 3.792433866221156e+005, 8.980796789681959e+001, 3.563213893664574e+002,-9.368988147934610e+001, 4.500001818199580e-001, 3.676568417873116e-002,-7.061503271024306e-001, 5.454354557250607e-001, 1.252464650429382e+001, 0.000000000000000e+000, 0.000000000000000e+000, 6.499897466132683e+001, 2.942576095114374e-002,-2.942551611270141e-002, 1.200377443671605e-004, 1.912644290453652e+000, 3.039880833933299e-002, 1.033632849005253e+001, 1.033632849005253e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000,-7.381011449972415e-002,-5.327158150667349e-001, 3.027646942241138e+004,-1.764364427715306e-003, 5.808934939405701e-001, 1.874529024139393e-007, 1.515703561266026e+001, 0.000000000000000e+000, 6.471039469090367e+001, 4.955159465657440e+001, 1.897947541826589e-004, 2.118393990361138e+004, 4.683000000000000e+003, 1.004831713349691e+005, 1.454296414056336e+001, 1.216757118947018e+000, 1.724041325100956e+000, 9.000000340196293e+001, 8.995825359577033e+001,-9.015512344840374e+001, 8.995825359577033e+001,-9.015512344840374e+001,-3.784391505261351e+006, 2.803012431255829e+006, 4.287092934702756e+006, 6.368489898370514e+006,-2.105179085016452e+002,-2.714205910006326e+002, 6.983642489735008e+000,
, 5.000000000000000e+000, 8.202260910717896e-002, 2.749712679417933e-004, 1.434567837616907e+002, 4.250403799906089e+001, 4.231240311536592e+001, 1.434567830619952e+002, 4.250404027935359e+001,-9.626655511075114e+000,-6.372131807915236e+003, 4.231240362653670e+001, 2.699961020205868e+002, 5.348852167345802e+001, 1.799958763812924e+002, 3.436535494913883e+002, 2.183427876097812e+000, 8.999269773239135e+001, 3.011520439831422e+004, 4.950000000000000e+005, 3.794042394267053e+005, 8.980774537557809e+001, 3.554053096443109e+002,-9.460877885476360e+001, 4.500001818199580e-001, 3.676568417873116e-002,-7.061503271024306e-001, 5.454354557250607e-001, 1.259622973392566e+001, 0.000000000000000e+000, 0.000000000000000e+000, 1.041727109544167e+002, 3.636385788801665e-002,-3.636366345026600e-002, 1.189158662838291e-004, 3.788121656955844e+000, 3.851077355019002e-002, 1.309286034948951e+001, 1.309286034948951e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000,-2.915757046623823e-002,-5.271965047470830e-001, 3.011520439831422e+004,-3.527245355201361e-003, 9.155910435119521e-001, 2.267600163562875e-006, 1.898801112629493e+001, 0.000000000000000e+000, 8.110342191594469e+001, 6.211188285242640e+001, 2.684103154284967e-004, 2.102267487951422e+004, 4.683000000000000e+003, 1.003435421643184e+005, 1.446685992001522e+001, 1.215387850361009e+000, 2.183440081019276e+000, 9.000000411997597e+001, 8.994823536927146e+001,-9.011960668137878e+001, 8.994823536927146e+001,-9.011960668137878e+001,-3.784602825236070e+006, 2.802741606525620e+006, 4.287100845524986e+006, 6.368501606927308e+006,-2.121290583879527e+002,-2.702235588713268e+002, 8.846066718333290e+000,
, 6.000000000000000e+000, 9.652387297748528e-002, 3.245308844762548e-004, 1.434567835865889e+002, 4.250403800020494e+001, 4.231240355148280e+001, 1.434567823924195e+002, 4.250404089015841e+001,-9.607970348552954e+000,-6.372131938572054e+003, 4.231240430748465e+001, 2.699952593106875e+002, 5.349504400350773e+001, 1.799949854187951e+002, 3.437684476606519e+002, 2.654635243773740e+000, 8.999111952553041e+001, 2.995393937421707e+004, 4.950000000000000e+005, 3.796032057233377e+005, 8.980747376521244e+001, 3.544915956789031e+002,-9.552531043415316e+001, 4.500001818199580e-001, 3.676568417873116e-002,-7.061503271024306e-001, 5.454354557250607e-001, 1.266963348964591e+001, 0.000000000000000e+000, 0.000000000000000e+000, 1.538403020625701e+002, 4.313908629049898e-002,-4.313892517032643e-002, 1.179030898708485e-004, 6.636530065633639e+000, 4.683973208594808e-002, 1.592192311001596e+001, 1.592192311001596e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 2.614504263359734e-002,-5.203607896991234e-001, 2.995393937421707e+004,-6.238436059239239e-003, 1.329992442465618e+000, 5.318581800305395e-006, 2.283356783812915e+001, 0.000000000000000e+000, 9.758446886069527e+001, 7.474466096548267e+001, 3.421573589987862e-004, 2.086140985541706e+004, 4.683000000000000e+003, 1.001708283651583e+005, 1.437260435229206e+001, 1.213693636850384e+000, 2.654650086894909e+000, 9.000000474874379e+001, 8.993838005922147e+001,-9.009523236173295e+001, 8.993838005922147e+001,-9.009523236173295e+001,-3.784815777592752e+006, 2.802471994892374e+006, 4.287110643170697e+006, 6.368516108110156e+006,-2.137828530036021e+002,-2.689942632490329e+002, 1.075749542247638e+001,
, 7.000000000000000e+000, 1.138912298355384e-001, 3.846374524419951e-004, 1.434567833409252e+002, 4.250403799877737e+001, 4.231240407380935e+001, 1.434567814619738e+002, 4.250404162283915e+001,-9.585460679705648e+000,-6.372132093886646e+003, 4.231240513076887e+001, 2.699943942178202e+002, 5.350162816703894e+001, 1.799940710621789e+002, 3.439097864446322e+002, 3.137877040971314e+000, 8.998949964650063e+001, 2.979267435011991e+004, 4.950000000000000e+005, 3.798411303640773e+005, 8.980715327842545e+001, 3.535807045831605e+002,-9.643901909635697e+001, 4.500001818199580e-001, 3.676568417873116e-002,-7.061503271024306e-001, 5.454354557250607e-001, 1.274490071091049e+001, 0.000000000000000e+000, 0.000000000000000e+000, 2.147040319936079e+002, 4.975364193416260e-002,-4.975350437235824e-002, 1.169974202970152e-004, 1.068230752963096e+001, 5.539207267053080e-002, 1.882536759049873e+001, 1.882536759049873e+001, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 0.000000000000000e+000, 9.237768467571035e-002,-5.121740555866288e-001, 2.979267435011991e+004,-1.013886712696841e-002, 1.826110614870908e+000, 9.505088823304316e-006, 2.669257309856191e+001, 0.000000000000000e+000, 1.141544858454628e+002, 8.745177098653095e+001, 4.451081530512108e-004, 2.070014483131991e+004, 4.683000000000000e+003, 9.996429655896075e+004, 1.425972026931777e+001, 1.211666960112652e+000, 3.137894592142205e+000, 9.000000526941938e+001, 8.992868547677773e+001,-9.007722485376166e+001, 8.992868547677773e+001,-9.007722485376166e+001,-3.785030405522108e+006, 2.802203629024216e+006, 4.287122377267135e+006, 6.368533475369973e+006,-2.154803885672397e+002,-2.677318917137294e+002, 1.271917901013197e+001,
