RLV Sizing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEO Mission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lng_LS=,143.456784,latg_LS=,42.504038,g0=,9.806650135,GM=,3.98601E+14,Re=,6378.142,Rp=,6356.757,Omega=,0.004178075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event Title,time,h,s,lng,latg,longiip,latgiip,ha,hp,inc,argp,asnd,tanm,vi,fpvgd,azvgd,weight,Fvac,Fr,eularGDB[1],eularGDB[2],eularGDB[0],qbi[0],qbi[1],qbi[2],qbi[3],axb,q,alphat,alpha,beta,alphaq,M,vr,va,P,Q,R,MASUDA.Elevation,OGASAWARA.Elevation,GUAM.Elevation,TAIKI.Elevation,TAIKI-SEIKA.Elevation,NEMURO.Elevation,weight,Vlossxb,Vlossg,Vlossaoa,Vlossbp,Vlossyzb,Videal,Vgain,MainEngine.Wp,2ndEngine.Wp
Start,0,0.05,0,143.456784,42.504038,0,0,0,0,0,0,0,0,0,0,0,30921.4775,0,0,0,0,0,0.451175578,0.017101959,-0.729269789,0.514114477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30921.4775,0,0,0,0,0,0,0,21829,4683
LIFTOFF,0,0.05,0.000167236,143.456784,42.504038,143.4567841,42.50403873,-9.667557681,-6372.136501,42.31239948,270,53.456784,180,343.4144712,1.65967E-14,90,30921.4775,0,0,89.80836148,360,-95,0.451175578,0.017101959,-0.729269789,0.514114477,0,0,0,0,0,0,0,0,0,0,0,0,-7.77736372,-7.737607883,-14.56520882,-0.151280425,-0.542291624,-0.877492984,30921.4775,0,0,0,0,0,0,0,21829,4683
,0,0.05,0.000167236,143.456784,42.504038,143.4567841,42.50403873,-9.667557681,-6372.136501,42.31239948,270,53.456784,180,343.4144712,1.65967E-14,90,30921.4775,495000,378963.8805,89.80836148,360,-95,0.451175578,0.017101959,-0.729269789,0.514114477,12.25568476,0,0,0,0,0,0,0,0,0,0,0,-7.77736372,-7.737607883,-14.56520882,-0.151280425,-0.542291624,-0.877492984,30921.4775,0,0,0,0,0,0,0,21829,4683
,1,0.051236677,0.000171387,143.456784,42.504038,143.456784,42.50403888,-9.666006475,-6372.136513,42.31239954,269.9992541,53.46302882,179.9992176,343.4230587,0.414449056,89.99860872,30760.21247,495000,378980.9119,89.80833669,359.0791646,-95.9236531,0.451175578,0.017101959,-0.729269789,0.514114477,12.32041299,3.761176073,0,0,0,0,0.007304211,2.484143279,2.484143279,0,0,0,-7.777322963,-7.737566817,-14.56518733,-0.14656418,-0.541708666,-0.877131818,30760.21247,-2.57039E-05,0.035370655,0,3.762241654,0,16.05018047,12.28791311,21667.73498,4683
,2,0.054990138,0.000183991,143.456784,42.504038,143.456784,42.5040391,-9.661276004,-6372.136548,42.31239971,269.9984886,53.46932801,179.9984145,343.4497676,0.839792994,89.99718083,30598.94745,495000,379032.5916,89.80826234,358.1588083,-96.84682715,0.451175578,0.017101959,-0.729269789,0.514114477,12.38679141,15.43878918,0,0,0,0,0.014801811,5.033844177,5.033844177,0,0,0,-7.777199262,-7.737442178,-14.5651221,-0.13224982,-0.539939322,-0.876035637,30598.94745,-0.000210496,0.142719178,0,7.543141421,0,32.18472796,24.64137604,21506.46996,4683
,3,0.061326776,0.000205299,143.4567839,42.504038,143.4567838,42.5040394,-9.653247442,-6372.136606,42.3124,269.997703,53.475683,179.9975903,343.4960801,1.276262699,89.99571537,30437.68243,495000,379119.7956,89.80813849,357.2394086,-97.7690446,0.451175578,0.017101959,-0.729269789,0.514114477,12.45486231,35.64189726,0,0,0,0,0.022498419,7.650781988,7.650781988,0,0,0,-7.776990425,-7.737231759,-14.56501198,-0.108084138,-0.536952297,-0.874185058,30437.68243,-0.000727224,0.323926725,0,11.34174678,0,48.40453409,37.06206009,21345.20493,4683
,4,0.070314685,0.000235636,143.4567839,42.504038,143.4567835,42.50403979,-9.641797061,-6372.136688,42.31240042,269.9968967,53.48209523,179.9967444,343.5635652,1.724088382,89.99421135,30276.41741,495000,379243.3946,89.80796524,356.32144,-98.68983086,0.451175578,0.017101959,-0.729269789,0.514114477,12.52466819,65.00337381,0.029432143,-0.029370782,0.001899528,1.913188613,0.030399838,10.33667861,10.33667861,0,0,0,-7.776694204,-7.7369333,-14.5648558,-0.073807449,-0.532715495,-0.871560199,30276.41741,-0.001764493,0.580908971,2.7547E-07,15.15706116,0,64.71050471,49.55167897,21183.93991,4683
,5,0.082023701,0.000275422,143.4567838,42.504038,143.4567831,42.50404029,-9.626796011,-6372.136795,42.31240097,269.9960692,53.4885662,179.9958762,343.6538831,2.183498807,89.99266776,30115.15239,495000,379404.2528,89.80774272,355.4053727,-99.60871576,0.451175578,0.017101959,-0.729269789,0.514114477,12.59625179,104.179677,0.036368469,-0.036281514,0.00251343,3.7888554,0.038512064,13.09329879,13.09329879,0,0,0,-7.776308297,-7.736544483,-14.56465232,-0.029153438,-0.527196003,-0.868140674,30115.15239,-0.003527497,0.915615197,2.35647E-06,18.98804293,0,81.10356017,62.11198903,21022.67489,4683
,6,0.096525447,0.000325176,143.4567836,42.50403801,143.4567824,42.50404091,-9.608110095,-6372.136925,42.31240165,269.99522,53.49509744,179.9949853,343.7687889,2.654720439,89.99108356,29953.88736,495000,379603.2257,89.80747111,354.4916711,-100.525235,0.451175578,0.017101959,-0.729269789,0.514114477,12.66965594,153.8504655,0.043142457,-0.043029989,0.003113147,6.637487117,0.046841284,15.92245025,15.92245025,0,0,0,-7.77583034,-7.736062928,-14.56440031,0.02615097,-0.520360065,-0.863905573,29953.88736,-0.006238874,1.330027175,5.40816E-06,22.83360575,0,97.58463565,74.74478938,20861.40987,4683
,7,0.113893375,0.000385511,143.4567833,42.50403801,143.4567815,42.50404165,-9.585599527,-6372.137081,42.31240248,269.9943483,53.50169051,179.9940709,343.9101368,3.137976523,89.98945768,29792.62234,495000,379841.1581,89.80715063,353.5807922,-101.4389314,0.451175578,0.017101959,-0.729269789,0.514114477,12.74492359,214.7180445,0.049756079,-0.049618402,0.00369887,10.68352801,0.055393887,18.82598384,18.82598384,0,0,0,-7.775257909,-7.735486198,-14.5640985,0.092385737,-0.512173066,-0.858833455,29792.62234,-0.010139569,1.826157816,9.59526E-06,26.69261694,0,114.1546815,87.45192206,20700.14485,4683
,8,0.134202809,0.000457114,143.456783,42.50403801,143.4567802,42.50404252,-9.55911869,-6372.137261,42.31240345,269.9934537,53.50834702,179.9931325,344.0798846,3.633486085,89.98778904,29631.35732,495000,380118.8822,89.80678153,352.6731846,-102.3493566,0.451175578,0.017101959,-0.729269789,0.514114477,12.82209772,287.5066235,0.056211425,-0.056048949,0.004270789,16.16115702,0.064176469,21.8057936,21.8057936,0,0,0,-7.774588521,-7.73481179,-14.56374558,0.169837814,-0.502599513,-0.852902335,29631.35732,-0.015489709,2.406049583,1.50736E-05,30.56389713,0,130.8146635,100.235272,20538.87982,4683
,9,0.157530988,0.000540739,143.4567826,42.50403801,143.4567786,42.50404352,-9.528515882,-6372.137466,42.31240459,269.9925354,53.51506861,179.9921695,344.2800976,4.141462854,89.98607653,29470.0923,495000,380437.2147,89.80636408,351.769287,-103.2560716,0.451175578,0.017101959,-0.729269789,0.514114477,12.90122126,372.9613665,0.062510639,-0.062323831,0.004829095,23.31405341,0.073195833,24.86381677,24.86381677,0,0,0,-7.773819627,-7.734037142,-14.5633402,0.258801231,-0.491603011,-0.84608967,29470.0923,-0.022569484,3.071772641,2.19904E-05,34.44621976,0,147.5655632,113.0967673,20377.6148,4683
T4,10,0.183957111,0.000637199,143.4567821,42.50403801,143.4567766,42.50404468,-9.493633051,-6372.137698,42.31240588,269.9915929,53.52185696,179.9911814,344.5129528,4.662114101,89.98431901,29308.82728,495000,380796.9552,89.80589861,350.8695272,-104.1586488,0.451175578,0.017101959,-0.729269789,0.514114477,12.98233709,471.8472162,0.068655896,-0.068445251,0.005373979,32.39509322,0.082459002,28.00203373,28.00203373,0,0,0,-7.772948616,-7.733159624,-14.56288098,0.35957716,-0.479146245,-0.838372345,29308.82728,-0.031680025,3.825422729,3.04848E-05,38.33831057,0,164.4083785,126.0383786,20216.34978,4683
,10,0.183957111,0.000637199,143.4567821,42.50403801,143.4567766,42.50404468,-9.493633051,-6372.137698,42.31240588,269.9915929,53.52185696,179.9911814,344.5129528,4.662114101,89.98431901,29308.82728,495000,380796.9552,89.80589861,350.8695272,-104.1586488,0.451175578,0.017101959,-0.729269789,0.514114477,12.98233709,471.8472162,0.068655896,-0.068445251,0.005373979,32.39509322,0.082459002,28.00203373,28.00203373,0,-0.359322933,0,-7.772948616,-7.733159624,-14.56288098,0.35957716,-0.479146245,-0.838372345,29308.82728,-0.031680025,3.825422729,3.04848E-05,38.33831057,0,164.4083785,126.0383786,20216.34978,4683
